,gender,age,class,embarked,fare,sibsp,parch,survived
0,1,42.0,2,3,7.11,0,0,0
1,1,13.0,2,3,20.05,0,2,0
2,1,16.0,2,3,20.05,1,1,0
3,0,39.0,2,3,20.05,1,1,1
4,0,16.0,2,3,7.13,0,0,1
5,1,25.0,2,3,7.13,0,0,1
6,1,30.0,1,1,24.0,1,0,0
7,0,28.0,1,1,24.0,1,0,1
8,1,27.0,2,1,18.1509,0,0,1
9,1,20.0,2,3,7.1806,0,0,1
10,1,30.0,2,3,7.05,0,0,0
11,1,27.0,2,3,8.01,0,0,0
12,0,40.0,2,3,9.0906,1,0,0
13,1,0.8333333333,2,3,9.07,0,1,1
14,0,18.0,2,3,9.07,0,1,1
15,1,35.0,1,3,13.0,0,0,0
16,1,25.0,2,3,7.1709,0,0,0
17,1,19.0,2,3,7.1806,0,0,0
18,1,24.0,2,3,7.01,0,0,0
19,1,25.0,2,3,7.01,0,0,0
20,0,29.0,0,3,211.6009,0,0,1
21,1,39.0,2,3,8.01,0,0,0
22,1,0.9166666667,0,3,151.16,1,2,1
23,0,2.0,0,3,151.16,1,2,0
24,1,30.0,0,3,151.16,1,2,0
25,0,25.0,0,3,151.16,1,2,0
26,1,18.0,2,3,8.06,0,0,0
27,1,19.0,2,1,7.0407,0,0,0
28,0,19.0,2,3,7.1701,1,0,1
29,1,33.0,2,3,22.1006,0,0,0
30,1,47.0,0,3,26.11,0,0,1
31,1,4.0,2,3,31.0506,4,2,0
32,0,6.0,2,3,31.0506,4,2,0
33,0,2.0,2,3,31.0506,4,2,0
34,0,16.0,2,3,7.1806,4,2,1
35,0,38.0,2,3,7.1506,4,2,0
36,0,9.0,2,3,31.0506,4,2,0
37,0,11.0,2,3,31.0506,4,2,0
38,1,39.0,2,3,31.0506,1,5,0
39,1,26.0,2,3,7.1506,0,0,0
40,0,39.0,2,3,31.0506,1,5,0
41,1,20.0,2,3,7.1701,0,0,0
42,1,17.0,1,3,11.1,0,0,0
43,1,27.0,1,3,10.1,0,0,0
44,0,62.0,0,1,77.1902,1,0,1
45,1,39.0,0,0,89.0,0,0,0
46,1,26.0,2,3,7.1711,0,0,0
47,0,36.0,1,3,26.0,1,0,1
48,1,31.0,1,3,26.0,1,0,0
49,0,53.0,0,3,51.0907,2,0,1
50,1,25.0,2,3,17.16,1,0,0
51,0,18.0,2,3,17.16,1,0,0
52,1,25.0,2,3,7.1506,0,0,0
53,1,71.0,0,1,49.1001,0,0,0
54,1,57.0,1,3,13.0,0,0,0
55,1,35.0,2,3,7.01,0,0,0
56,1,5.0,2,3,31.0709,4,2,0
57,1,9.0,2,3,31.0709,4,2,0
58,1,3.0,2,3,31.0709,4,2,1
59,1,13.0,2,3,31.0709,4,2,0
60,0,5.0,2,3,31.0709,4,2,1
61,1,40.0,2,3,31.0709,1,5,0
62,1,13.0,2,3,7.1511,0,0,1
63,0,38.0,2,3,31.0709,1,5,1
64,0,45.0,2,1,7.0406,0,0,1
65,1,23.0,2,3,7.01,0,0,0
66,1,47.0,0,1,247.1006,1,0,0
67,0,18.0,0,1,247.1006,1,0,1
68,0,17.0,2,1,14.0902,0,0,0
69,1,27.0,2,1,7.0406,0,0,0
70,0,24.0,0,1,69.06,0,0,1
71,1,23.0,2,3,7.1701,0,0,0
72,0,15.0,2,1,7.0407,0,0,1
73,1,32.0,2,3,15.17,1,0,0
74,0,33.0,2,3,15.17,3,0,1
75,0,3.0,2,1,19.0502,2,1,1
76,0,0.75,2,1,19.0502,2,1,1
77,0,5.0,2,1,19.0502,2,1,1
78,0,23.0,2,1,19.0502,0,3,1
79,0,18.0,2,3,8.01,0,0,1
80,1,40.0,2,1,7.0406,0,0,0
81,1,18.0,1,3,11.1,0,0,0
82,1,22.0,1,3,10.1,0,0,0
83,1,26.0,2,3,7.1711,0,0,0
84,0,36.0,1,3,13.0,0,0,1
85,1,28.0,1,3,10.1,0,0,0
86,0,31.0,2,3,8.1308,0,0,1
87,0,18.0,2,1,14.0901,0,1,0
88,0,45.0,2,1,14.0901,0,1,0
89,0,27.0,0,3,78.17,0,0,1
90,1,47.0,0,3,30.0,0,0,1
91,0,33.0,2,2,7.1707,0,0,0
92,1,22.0,2,3,8.01,0,0,0
93,0,32.0,0,1,76.051,0,0,1
94,1,52.0,1,3,12.1006,0,0,0
95,1,23.0,2,3,7.1711,0,0,0
96,1,60.0,0,1,25.1806,0,0,0
97,1,24.0,0,1,247.1005,0,1,0
98,0,50.0,0,1,247.1005,0,1,1
99,1,32.0,1,3,26.0,1,0,1
100,0,22.0,1,3,26.0,1,0,1
101,1,36.0,0,3,75.041,0,0,0
102,1,44.0,1,3,26.0,0,0,0
103,1,20.0,2,3,8.01,0,0,0
104,1,1.0,1,3,39.0,2,1,1
105,0,4.0,1,3,39.0,2,1,1
106,0,12.0,1,3,39.0,2,1,1
107,0,35.0,1,3,39.0,0,3,1
108,1,37.0,0,3,52.1101,1,1,1
109,0,46.0,0,3,52.1101,1,1,1
110,1,34.0,1,3,13.0,0,0,1
111,1,26.0,0,1,30.0,0,0,1
112,1,26.0,2,3,7.1506,0,0,0
113,0,19.0,1,3,13.0,0,0,1
114,1,22.0,2,3,9.07,0,0,0
115,1,23.0,1,3,13.0,0,0,0
116,0,39.0,0,1,63.0702,0,0,1
117,0,46.0,0,1,247.1006,0,0,1
118,1,32.0,2,3,56.0911,0,0,1
119,0,31.0,0,3,221.1507,0,0,1
120,1,21.0,2,3,7.1506,0,0,0
121,1,24.0,0,1,26.0,0,0,0
122,1,25.0,0,1,91.0107,1,0,1
123,0,19.0,0,1,91.0107,1,0,1
124,1,18.0,2,3,7.15,0,0,0
125,1,28.0,0,3,26.11,0,0,1
126,1,45.0,0,3,35.1,0,0,0
127,1,39.0,0,1,31.0,0,0,1
128,0,30.0,0,3,164.1704,0,0,1
129,0,61.0,0,3,26.11,0,0,1
130,1,41.0,0,3,26.11,0,0,0
131,1,26.0,2,3,7.1711,0,0,0
132,1,25.0,1,3,13.0,0,0,0
133,0,40.0,2,2,7.15,0,2,0
134,1,42.0,2,2,15.1,1,1,0
135,0,32.0,2,2,15.1,1,1,0
136,0,45.0,0,1,262.0706,0,0,1
137,1,26.0,2,3,16.02,0,0,0
138,1,42.0,1,3,13.0,0,0,0
139,0,22.0,0,3,55.0,0,1,1
140,1,30.0,1,3,13.0,0,0,0
141,0,22.0,2,2,7.1406,0,0,1
142,1,41.0,0,3,30.1,0,0,0
143,0,20.0,2,3,7.1701,0,0,0
144,1,24.0,1,3,22.0,0,0,0
145,1,48.0,0,1,50.0911,0,0,0
146,1,29.0,2,3,7.0,1,0,0
147,1,23.0,2,3,7.05,1,0,0
148,1,37.0,0,3,26.11,0,0,1
149,1,46.0,0,1,39.12,0,0,0
150,1,20.0,1,3,22.0,0,0,0
151,1,32.0,1,3,13.0,0,0,0
152,1,22.0,2,3,7.1511,0,0,0
153,1,40.0,2,3,8.01,0,0,0
154,0,18.0,1,3,13.0,0,0,1
155,0,15.0,1,3,39.0,0,2,1
156,0,59.0,0,3,51.0907,2,0,1
157,0,40.0,1,3,39.0,1,1,1
158,0,44.0,0,1,27.1405,0,0,1
159,1,60.0,1,3,39.0,1,1,0
160,0,20.0,1,3,26.0,1,0,1
161,1,25.0,1,3,26.0,1,0,0
162,0,22.0,2,2,7.0508,0,0,0
163,1,21.0,2,2,7.1517,0,0,1
164,0,58.0,0,1,76.051,0,0,1
165,1,7.0,2,1,15.0411,1,1,0
166,0,10.0,2,1,15.0411,1,1,0
167,0,40.0,2,1,15.0411,0,2,0
168,1,19.0,2,2,6.15,0,0,0
169,0,41.0,0,1,134.1,0,0,1
170,0,17.0,2,2,7.1707,0,0,0
171,0,36.0,1,3,13.0,0,0,1
172,1,26.0,1,3,13.0,0,0,0
173,1,21.0,2,1,7.0407,0,0,0
174,1,46.0,0,3,26.11,0,0,0
175,1,42.0,1,3,13.0,0,0,0
176,0,40.0,1,3,13.0,0,0,1
177,0,21.0,2,3,8.1303,0,0,0
178,0,30.0,2,3,8.1303,0,0,0
179,1,18.0,2,3,8.1303,0,0,0
180,1,38.0,2,3,8.1303,0,0,0
181,1,28.0,0,3,31.0,0,0,0
182,1,42.0,0,3,26.0509,0,0,1
183,1,0.8333333333,1,3,29.0,0,2,1
184,1,26.0,1,3,29.0,1,1,1
185,0,28.0,1,3,29.0,1,1,1
186,1,17.0,2,3,8.1303,0,0,0
187,1,17.0,2,3,8.1303,0,0,0
188,0,35.0,1,3,21.0,0,0,1
189,1,21.0,1,0,22.0,0,0,0
190,0,22.0,2,2,7.15,0,0,0
191,1,21.0,2,2,7.15,0,0,0
192,0,52.0,0,1,27.0811,0,0,1
193,1,29.0,2,3,8.01,0,0,0
194,1,28.0,2,1,14.0902,1,0,0
195,0,18.0,2,1,14.0902,1,0,0
196,1,19.0,1,3,13.0,0,0,0
197,0,58.0,0,1,512.0607,0,1,1
198,1,36.0,0,1,512.0607,0,1,1
199,1,28.0,2,3,7.1511,0,0,0
200,1,24.0,2,3,7.1701,0,0,0
201,1,33.0,0,3,5.0,0,0,0
202,1,17.0,0,3,47.02,0,0,0
203,1,27.0,0,3,47.02,0,0,0
204,0,45.0,2,2,7.15,0,0,0
205,1,54.0,1,3,26.0,1,0,0
206,1,11.0,0,3,120.0,1,2,1
207,0,13.0,0,3,120.0,1,2,1
208,0,45.0,1,3,26.0,1,0,0
209,0,36.0,0,3,120.0,1,2,1
210,1,36.0,0,3,120.0,1,2,1
211,1,28.0,2,3,7.05,0,0,0
212,1,49.0,0,3,26.0,0,0,0
213,0,36.0,0,1,27.1405,0,0,1
214,0,25.0,0,3,78.17,1,0,1
215,1,36.0,0,3,78.17,1,0,0
216,1,24.0,2,3,8.01,0,0,0
217,1,46.0,0,3,61.0306,1,0,0
218,0,47.0,0,3,61.0306,1,0,1
219,1,27.0,0,3,53.02,1,0,1
220,0,32.0,0,3,53.02,1,0,1
221,1,52.0,1,3,13.1,0,0,0
222,1,37.0,1,3,26.0,1,0,0
223,0,29.0,1,3,26.0,1,0,0
224,1,20.0,2,2,7.1408,0,0,0
225,0,36.0,0,1,262.0706,0,0,1
226,0,30.0,0,3,86.1,0,0,1
227,1,45.0,0,1,29.14,0,0,1
228,0,48.0,0,3,55.0,0,1,1
229,1,32.0,2,3,56.0911,0,0,1
230,1,43.0,0,0,89.0,0,0,0
231,1,29.0,2,3,8.01,0,0,0
232,0,25.0,1,3,30.0,1,1,1
233,0,52.0,1,3,30.0,0,2,1
234,1,26.0,2,1,14.0901,1,0,0
235,1,21.0,2,1,14.0901,1,0,0
236,1,29.0,1,3,26.0,1,0,0
237,1,28.0,1,3,22.0,0,0,0
238,0,28.0,1,3,27.0,1,0,1
239,0,26.0,0,1,136.1507,1,0,1
240,1,27.0,0,1,136.1507,1,0,0
241,0,22.0,0,3,151.16,0,0,1
242,1,40.0,0,3,52.0,0,0,0
243,1,20.0,2,3,7.01,0,0,0
244,1,18.0,2,3,8.01,0,0,1
245,1,24.0,2,2,7.05,0,0,0
246,1,24.0,2,3,7.1711,0,0,0
247,1,29.0,1,3,10.1,0,0,0
248,1,27.0,1,3,13.0,0,0,0
249,1,25.0,1,3,10.1,0,0,1
250,1,37.0,0,3,25.1109,0,0,0
251,0,8.0,1,3,26.05,0,2,1
252,1,31.0,1,3,26.05,1,1,0
253,0,30.0,1,3,26.05,1,1,1
254,1,36.0,2,3,7.1711,0,0,0
255,0,39.0,0,1,83.0302,1,1,1
256,1,37.0,0,1,83.0302,1,1,0
257,0,64.0,0,1,83.0302,0,2,1
258,1,31.0,2,2,7.1408,0,0,0
259,1,40.0,2,2,7.15,0,0,0
260,0,23.0,2,2,7.15,0,0,1
261,0,41.0,2,2,7.1207,0,0,0
262,1,66.0,2,2,7.15,0,0,0
263,1,43.0,2,3,8.01,0,0,0
264,0,22.0,1,3,10.1,0,0,1
265,0,30.0,1,3,13.0,0,0,0
266,0,32.0,1,3,21.0,0,0,0
267,1,35.0,2,3,7.1711,0,0,0
268,1,27.0,2,3,7.1711,0,0,0
269,1,19.0,2,3,7.1711,0,0,0
270,1,30.0,2,3,8.01,0,0,0
271,0,55.0,0,3,25.141,2,0,1
272,0,16.0,2,2,7.15,0,0,1
273,1,21.0,1,3,11.1,0,0,0
274,1,3.0,2,3,15.18,1,1,1
275,1,9.0,2,3,15.18,1,1,1
276,0,36.0,2,3,15.18,0,2,1
277,1,58.0,2,3,7.05,0,0,0
278,1,59.0,0,3,26.11,0,0,0
279,1,20.0,2,3,8.0302,0,0,0
280,0,16.0,2,3,16.02,0,1,1
281,1,43.0,2,3,16.02,0,1,0
282,1,70.0,0,3,71.0,1,1,0
283,0,39.0,0,3,26.11,0,2,1
284,0,64.0,0,3,71.0,1,1,1
285,1,17.0,2,3,8.1303,0,0,0
286,1,39.0,0,1,71.0508,1,0,0
287,0,35.0,0,1,71.0508,1,0,1
288,1,22.0,1,0,22.0,0,0,0
289,1,28.0,2,1,7.0407,0,0,0
290,0,22.0,2,3,10.1004,0,0,0
291,1,45.0,2,3,8.01,0,0,1
292,1,19.0,2,3,10.0305,0,0,0
293,0,33.0,2,2,6.19,0,0,1
294,1,29.0,2,2,7.15,0,0,1
295,1,51.0,0,3,26.11,0,0,1
296,1,0.3333333333,2,3,14.08,0,2,0
297,1,34.0,2,3,14.08,1,1,0
298,0,28.0,2,3,14.08,1,1,0
299,1,27.0,0,3,30.1,0,0,1
300,0,36.0,0,3,151.16,0,0,1
301,1,27.0,2,3,7.1711,0,0,0
302,0,27.0,0,1,52.0,1,2,1
303,1,31.0,0,1,52.0,1,0,0
304,1,8.0,1,3,36.15,1,1,1
305,1,24.0,2,3,24.03,2,0,0
306,1,19.0,1,3,73.1,0,0,0
307,1,22.0,2,3,8.01,0,0,0
308,1,22.0,2,3,24.03,2,0,0
309,1,17.0,2,3,8.01,2,0,0
310,0,48.0,1,3,36.15,0,2,1
311,0,28.0,1,3,13.0,0,0,1
312,0,34.0,2,3,16.02,1,0,1
313,1,32.0,2,3,16.02,1,0,0
314,1,18.0,1,3,73.1,0,0,0
315,1,1.0,2,3,20.1106,1,2,1
316,0,0.1666666667,2,3,20.1106,1,2,1
317,1,25.0,2,3,20.1106,1,2,0
318,0,32.0,2,3,20.1106,1,2,1
319,1,25.0,2,3,7.1711,0,0,0
320,0,24.0,1,1,27.1405,1,0,1
321,1,29.0,1,1,27.1405,1,0,0
322,1,36.0,2,3,17.08,1,0,1
323,0,36.0,2,3,17.08,1,0,1
324,1,30.0,2,3,9.1,0,0,1
325,1,25.0,1,3,31.1,0,0,0
326,1,30.0,2,3,7.1711,0,0,0
327,1,22.0,2,3,7.05,0,0,0
328,1,26.0,2,3,7.05,0,0,0
329,1,16.0,2,3,9.1,0,0,0
330,0,19.0,2,2,7.1707,0,0,1
331,1,18.0,1,3,73.1,0,0,0
332,1,31.0,0,3,57.0,1,0,1
333,0,17.0,0,3,57.0,1,0,1
334,1,17.0,2,3,7.1711,0,0,0
335,1,42.0,2,3,8.1303,0,0,0
336,1,43.0,2,3,7.1711,0,0,0
337,1,52.0,0,3,81.1702,1,1,1
338,1,4.0,0,3,81.1702,0,2,1
339,0,34.0,0,3,81.1702,1,1,1
340,0,18.0,1,3,23.0,0,1,1
341,0,34.0,1,3,23.0,0,1,1
342,0,21.0,2,2,7.15,0,0,0
343,1,37.0,2,2,7.15,0,0,0
344,1,18.0,2,3,8.01,0,0,1
345,1,22.0,2,2,8.0902,0,0,0
346,0,48.0,0,1,106.0806,1,0,1
347,0,27.0,0,1,247.1005,1,1,1
348,1,50.0,0,1,106.0806,1,0,0
349,1,55.0,1,3,26.0,0,0,0
350,0,31.0,2,3,12.0906,0,0,1
351,0,28.0,2,2,7.15,0,0,0
352,1,33.0,2,1,7.1711,0,0,0
353,1,8.0,1,3,32.1,0,2,1
354,1,42.0,1,3,32.1,1,1,0
355,0,34.0,1,3,32.1,1,1,1
356,0,27.0,2,2,7.15,0,0,1
357,0,24.0,2,3,8.01,0,0,1
358,0,48.0,0,1,56.1807,1,0,1
359,1,49.0,0,1,39.12,1,0,1
360,1,39.0,0,1,29.14,0,0,0
361,1,24.0,2,3,7.11,0,0,1
362,0,27.0,1,1,13.1702,1,0,1
363,0,30.0,1,1,13.1702,1,0,1
364,1,65.0,2,2,7.15,0,0,0
365,1,23.0,2,3,13.18,1,0,0
366,0,22.0,2,3,13.18,1,0,1
367,0,23.0,0,1,83.0302,0,1,1
368,1,18.0,2,3,7.1506,0,0,0
369,1,25.0,1,3,13.0,0,0,0
370,1,16.0,2,3,7.1506,0,0,0
371,1,45.0,2,3,6.1906,0,0,0
372,1,29.0,2,1,7.0406,0,0,0
373,1,15.0,2,1,7.0407,1,1,0
374,1,22.0,2,1,7.0407,1,1,0
375,1,48.0,2,3,7.05,0,0,0
376,0,5.0,2,3,12.0906,0,0,1
377,1,21.0,1,3,13.0,0,0,0
378,0,39.0,0,1,247.1006,0,0,1
379,1,37.0,2,3,7.01,0,0,0
380,0,54.0,0,1,78.0504,1,0,1
381,0,36.0,0,1,31.1307,0,0,0
382,1,38.0,2,3,15.02,0,0,0
383,1,18.0,1,3,13.0,0,0,0
384,1,46.0,2,3,7.05,0,0,0
385,1,26.0,2,2,7.15,0,0,0
386,1,49.0,0,3,221.1507,0,0,0
387,1,32.0,1,3,26.0,1,0,0
388,1,18.0,1,3,10.1,0,0,0
389,1,34.0,2,3,7.01,0,0,1
390,1,18.0,2,3,7.1511,0,0,0
391,0,48.0,0,1,31.1308,0,0,1
392,0,22.0,2,2,7.15,0,0,0
393,0,42.0,0,1,110.1708,0,0,1
394,1,28.0,2,2,7.15,0,0,0
395,1,48.0,2,2,6.19,0,0,0
396,1,36.0,0,3,26.0509,0,0,1
397,1,19.0,2,2,7.1707,0,0,0
398,1,20.0,2,2,7.15,0,0,0
399,1,32.0,2,3,56.0911,0,0,1
400,0,20.0,2,3,34.0706,2,2,0
401,0,7.0,2,3,34.0706,2,2,0
402,1,23.0,2,3,8.01,0,0,0
403,1,18.0,2,3,34.0706,2,2,0
404,0,54.0,2,3,34.0706,1,3,0
405,1,14.0,2,3,34.0706,1,3,0
406,1,30.0,0,3,27.15,0,0,0
407,0,24.0,0,3,263.0,3,2,1
408,0,28.0,0,3,263.0,3,2,1
409,0,23.0,0,3,263.0,3,2,1
410,1,19.0,0,3,263.0,3,2,0
411,1,64.0,0,3,263.0,1,4,0
412,0,60.0,0,3,263.0,1,4,1
413,1,28.0,2,2,7.15,0,0,0
414,1,38.0,1,3,13.0,0,0,0
415,0,32.0,0,1,56.1807,0,0,1
416,1,37.0,0,3,26.11,0,0,0
417,1,49.0,0,3,133.13,2,0,1
418,1,43.0,0,1,27.1405,1,0,1
419,0,42.0,0,3,133.13,1,0,1
420,0,22.0,0,1,49.1,0,2,1
421,1,60.0,0,1,79.04,1,1,1
422,0,48.0,0,1,79.04,1,1,1
423,1,39.0,1,0,22.0,0,0,0
424,1,39.0,0,3,89.0,0,0,0
425,0,38.0,1,3,13.0,0,0,0
426,1,37.0,0,3,53.02,1,0,0
427,0,35.0,0,3,53.02,1,0,1
428,1,36.0,1,3,26.0,0,0,0
429,1,38.0,1,3,21.0,1,0,0
430,1,33.0,1,3,21.0,1,0,0
431,1,29.0,2,2,7.141,0,0,0
432,1,23.0,2,3,14.1,0,0,0
433,0,39.0,1,3,13.0,0,0,1
434,1,19.0,1,3,26.0,0,0,0
